code,shortName,longName,comment
dk,dk,Dänemark,
01060077,01060077,Sievershütten,Stadt / Gemeinde
01060079,01060079,Stipsdorf,Stadt / Gemeinde
01060080,01060080,Stocksee,Stadt / Gemeinde
01060081,01060081,Strukdorf,Stadt / Gemeinde
01060082,01060082,Struvenhütten,Stadt / Gemeinde
01060084,01060084,Stuvenborn,Stadt / Gemeinde
01060085,01060085,Sülfeld,Stadt / Gemeinde
01060086,01060086,Tarbek,Stadt / Gemeinde
01060087,01060087,Tensfeld,Stadt / Gemeinde
01060088,01060088,Todesfelde,Stadt / Gemeinde
01060089,01060089,Trappenkamp,Stadt / Gemeinde
01060090,01060090,Travenhorst,Stadt / Gemeinde
01060091,01060091,Traventhal,Stadt / Gemeinde
01060092,01060092,"Wahlstedt, Stadt",Stadt / Gemeinde
01060093,01060093,Wakendorf I,Stadt / Gemeinde
01060094,01060094,Wakendorf II,Stadt / Gemeinde
01060095,01060095,Weddelbrook,Stadt / Gemeinde
01060096,01060096,Weede,Stadt / Gemeinde
01060097,01060097,Wensin,Stadt / Gemeinde
01060098,01060098,Westerrade,Stadt / Gemeinde
01060099,01060099,Wiemersdorf,Stadt / Gemeinde
01060100,01060100,Winsen,Stadt / Gemeinde
01060101,01060101,Wittenborn,Stadt / Gemeinde
01061001,01061001,Aasbüttel,Stadt / Gemeinde
01061002,01061002,Aebtissinwisch,Stadt / Gemeinde
01061003,01061003,Agethorst,Stadt / Gemeinde
01061004,01061004,Altenmoor,Stadt / Gemeinde
01061005,01061005,Auufer,Stadt / Gemeinde
01061006,01061006,Bahrenfleth,Stadt / Gemeinde
01061007,01061007,Beidenfleth,Stadt / Gemeinde
01061008,01061008,Bekdorf,Stadt / Gemeinde
01061010,01061010,Bekmünde,Stadt / Gemeinde
01061011,01061011,Besdorf,Stadt / Gemeinde
01061012,01061012,Blomesche Wildnis,Stadt / Gemeinde
01061013,01061013,Bokelrehm,Stadt / Gemeinde
01061014,01061014,Bokhorst,Stadt / Gemeinde
01061015,01061015,Borsfleth,Stadt / Gemeinde
01061016,01061016,Breitenberg,Stadt / Gemeinde
01061017,01061017,Breitenburg,Stadt / Gemeinde
01061018,01061018,Brokdorf,Stadt / Gemeinde
01061019,01061019,Brokstedt,Stadt / Gemeinde
01061020,01061020,Büttel,Stadt / Gemeinde
01061021,01061021,Christinenthal,Stadt / Gemeinde
01061022,01061022,Dägeling,Stadt / Gemeinde
01061023,01061023,Dammfleth,Stadt / Gemeinde
01061024,01061024,Drage (Kr. Steinburg),Stadt / Gemeinde
01061025,01061025,Ecklak,Stadt / Gemeinde
01061026,01061026,Elskop,Stadt / Gemeinde
01061027,01061027,Engelbrechtsche Wildnis,Stadt / Gemeinde
01061028,01061028,Fitzbek,Stadt / Gemeinde
01061029,01061029,"Glückstadt, Stadt",Stadt / Gemeinde
01061030,01061030,Grevenkop,Stadt / Gemeinde
01061031,01061031,Gribbohm,Stadt / Gemeinde
01061033,01061033,Hadenfeld,Stadt / Gemeinde
01061034,01061034,Heiligenstedten,Stadt / Gemeinde
01061035,01061035,Heiligenstedtenerkamp,Stadt / Gemeinde
01061036,01061036,Hennstedt (Kr. Steinburg),Stadt / Gemeinde
01061037,01061037,Herzhorn,Stadt / Gemeinde
01061038,01061038,Hingstheide,Stadt / Gemeinde
01061039,01061039,Hodorf,Stadt / Gemeinde
01061040,01061040,Hohenaspe,Stadt / Gemeinde
01061041,01061041,Hohenfelde (Kr. Steinburg),Stadt / Gemeinde
01061042,01061042,Hohenlockstedt,Stadt / Gemeinde
01061043,01061043,Holstenniendorf,Stadt / Gemeinde
01061044,01061044,Horst (Holstein) (Kr. Steinburg),Stadt / Gemeinde
01061045,01061045,Huje,Stadt / Gemeinde
01061046,01061046,"Itzehoe, Stadt",Stadt / Gemeinde
01061047,01061047,Kaaks,Stadt / Gemeinde
01061048,01061048,Kaisborstel,Stadt / Gemeinde
01061049,01061049,"Kellinghusen, Stadt",Stadt / Gemeinde
01061050,01061050,Kiebitzreihe,Stadt / Gemeinde
01061052,01061052,Kleve (Kr. Steinburg),Stadt / Gemeinde
01061053,01061053,Kollmoor,Stadt / Gemeinde
01061054,01061054,Krempdorf,Stadt / Gemeinde
01061055,01061055,"Krempe, Stadt",Stadt / Gemeinde
01061056,01061056,Kremperheide,Stadt / Gemeinde
01061057,01061057,Krempermoor,Stadt / Gemeinde
01061058,01061058,Kronsmoor,Stadt / Gemeinde
01061059,01061059,Krummendiek,Stadt / Gemeinde
01061060,01061060,Kudensee,Stadt / Gemeinde
