code,shortName,longName,mass,comment
02KF1,02KF1,Karosserie- und Fahrzeugbaumechanikerin/-mechaniker Fachrichtung Karosserieinstandhaltungstechnik,203,"3,5j."
02KF2,02KF2,Karosserie- und Fahrzeugbaumechanikerin/-mechaniker Fachrichtung Caravan- und Reisemobiltechnik,203,"3,5j."
02KLE,02KLE,Klempnerin/Klempner,203,"3,5j."
02KME,02KME,Konstruktionsmechanikerin/Konstruktionsmechaniker,203,"3,5j."
02MF5,02MF5,Kraftfahrzeugmechatronikerin/Kraftfahrzeugmechatroniker Schwerpunkt Karosserietechnik,203,"3,5j."
02MF4,02MF4,Kraftfahrzeugmechatronikerin/Kraftfahrzeugmechatroniker Schwerpunkt Motorradtechnik,203,"3,5j."
02MF2,02MF2,Kraftfahrzeugmechatronikerin/Kraftfahrzeugmechatroniker Schwerpunkt Nutzfahrzeugtechnik,203,"3,5j."
02MF3,02MF3,Kraftfahrzeugmechatronikerin/Kraftfahrzeugmechatroniker Schwerpunkt Personenkraftwagentechnik,203,"3,5j."
02MF6,02MF6,Kraftfahrzeugmechatronikerin/Kraftfahrzeugmechatroniker Schwerpunkt System- und Hochvolttechnik,203,"3,5j."
02LMM,02LMM,Land- und Baumaschinenmechatronikerin/Land- und Baumaschinenmechatroniker,203,"3,5j."
02MS1,02MS1,Maschinen- und Anlagenführerin/-führer Schwerpunkt Metall-und Kunststofftechnik,203,2j.
02MKT,02MKT,Mechatronikerin/Mechatroniker für Kältetechnik,203,"3,5j."
02MB2,02MB2,Metallbauerin/Metallbauer Fachrichtung Konstruktionstechnik,203,"3,5j."
02MB3,02MB3,Metallbauerin/Metallbauer Fachrichtung Metallgestaltung,203,"3,5j."
02MB1,02MB1,Metallbauerin/Metallbauer Fachrichtung Nutzfahrzeugbau,203,"3,5j."
02PMT,02PMT,Packmitteltechnologin/Packmitteltechnologe,203,3j.
02PWS,02PWS,Präzisionswerkzeugmechanikerin/-mechaniker Fachrichtung Schneidwerkzeuge,203,"3,5j."
02PWZ,02PWZ,Präzisionswerkzeugmechanikerin/-mechaniker Fachrichtung Zerspanwerkzeuge,203,"3,5j."
02POT,02POT,Produktionstechnologin/Produktionstechnologe,203,3j.
02SME,02SME,Schiffsmechanikerin/Schiffsmechaniker,203,3j.
02SN2,02SN2,Schneidwerkzeugmechanikerin/-mechaniker Schwerpunkt Schneidemaschinen- und Messerschmiedetechnik,203,"3,5j."
02SN1,02SN1,Schneidwerkzeugmechanikerin/-mechaniker Schwerpunkt Schneidwerkzeug- und Schleiftechnik,203,"3,5j."
02SUT,02SUT,Stanz- und Umformmechaniker,203,3j.
02TM1,02TM1,Technischer Modellbauer/Technische Modellbauerin Fachrichtung Gießerei,203,"3,5j."
02TM2,02TM2,Technischer Modellbauer/Technische Modellbauerin Fachrichtung Karosserie und Produktion,203,"3,5j."
02TM3,02TM3,Technischer Modellbauer/Technische Modellbauerin Fachrichtung Anschauung,203,"3,5j."
02TP3,02TP3,Technischer Produktdesigner/Technische Produktdesignerin Fachrichtung Maschinen- und Anlagenkonstruktion,203,"3,5j."
02TP4,02TP4,Technischer Produktdesigner/Technische Produktdesignerin Fachrichtung Produktgestaltung und -konstruktion,203,"3,5j."
02TS1,02TS1,Technischer Systemplaner/Technische Systemplanerin Fachrichtung Versorgungs- und Ausrüstungstechnik,203,"3,5j."
02TS2,02TS2,Technischer Systemplaner/Technische Systemplanerin  Fachrichtung Stahl- und Metallbautechnik,203,"3,5j."
02TS3,02TS3,Technischer Systemplaner/Technische Systemplanerin  Fachrichtung  Elektrotechnische Systeme,203,"3,5j."
02VM4,02VM4,Verfahrensmechanikerin/-mechaniker für Kunststoff- und Kautschuktechnik Fachrichtung Bauteile,203,3j.
02VM6,02VM6,Verfahrensmechanikerin/-mechaniker für Kunststoff- und Kautschuktechnik Fachrichtung Faserverbundtechnologie,203,3j.
02VM1,02VM1,Verfahrensmechanikerin/-mechaniker für Kunststoff- und Kautschuktechnik Fachrichtung Formteile,203,3j.
02VM3,02VM3,Verfahrensmechanikerin/-mechaniker für Kunststoff- und Kautschuktechnik Fachrichtung Halbzeuge,203,3j.
02VM5,02VM5,Verfahrensmechanikerin/-mechaniker für Kunststoff- und Kautschuktechnik Fachrichtung Kunststofffenster,203,3j.
02VM2,02VM2,Verfahrensmechanikerin/-mechaniker für Kunststoff- und Kautschuktechnik Fachrichtung Mehrschicht-Kautschukteile,203,3j.
02VM7,02VM7,Verfahrensmechanikerin/-mechaniker für Kunststoff- und Kautschuktechnik Compound- und Masterbatchherstellung,203,3j.
02WME,02WME,Werkzeugmechanikerin/Werkzeugmechaniker,203,"3,5j."
02ZEM,02ZEM,Zerspanungsmechanikerin/Zerspanungsmechaniker,203,"3,5j."
02ZMF,02ZMF,Zweiradmechatronikerin/Zweiradmechatroniker Fachrichtung Fahrradtechnik,203,"3,5j."
02ZMM,02ZMM,Zweiradmechatronikerin/Zweiradmechatroniker Fachrichtung Motorradtechnik,203,"3,5j."
03EAI,03EAI,Elektroanlagenmonteurin/Elektroanlagenmonteur,205,3j.
03EAS,03EAS,Elektronikerin/Elektroniker Fachrichtung Automatisierungs- und Systemtechnik,205,"3,5j."
03EI1,03EI1,Elektronikerin/Elektroniker Fachrichtung Energie- und Gebäudetechnik,205,"3,5j."
03EAT,03EAT,Elektronikerin/Elektroniker für Automatisierungstechnik,205,"3,5j."
03EBT,03EBT,Elektronikerin/Elektroniker für Betriebstechnik,205,"3,5j."
