code,shortName,longName,postalCode,locality,comment
0703706,0703706,"Steinburg-Schule, Förderzentrum geistige Entwicklung",25524,Itzehoe,
0799852,0799852,"Store Vi - Vanderup Danske Skole, Grundschule mit Gemeinschaftsschulteil",24969,Großenwiehe,
0707506,0707506,"Theodor-Storm-Dörfergemeinschaftsschule, Grund- und Gemeinschaftsschule mit Förderzentrumsteil",25557,Hanerau-Hademarschen,
0703649,0703649,"Trave-Schule, Förderzentrum geistige Entwicklung",23795,Bad Segeberg,
0799837,0799837,"Treja Danske Skole, Grundschule mit Gemeinschaftsschulteil",24896,Treia,
0799833,0799833,"Trene-Skolen, Grundschule mit Gemeinschaftsschulteil",24963,Tarp,
0799821,0799821,"Uffe-Skolen, Grundschule mit Gemeinschaftsschulteil",25832,Tönning,
0799825,0799825,"Vestermölle Danske Skole, Grundschule",24800,Elsdorf-Westermühlen,
0799810,0799810,"Vimmersbøl Danske Skole, Grundschule mit Gemeinschaftsschulteil",25923,Süderlügum,
0799824,0799824,"Vyk Danske Skole, Grundschule mit Gemeinschaftsschulteil",25938,Wyk auf Föhr,
0707356,0707356,"Wagrienschule, Gemeinschaftsschule mit Förderzentrumsteil",23758,Oldenburg in Holstein,
0799403,0799403,"Waldorfschule, in Ostholstein",23738,Lensahn,
0702294,0702294,"Weingartenschule, Grundschule mit Förderzentrum Lernen",21481,Lauenburg/Elbe,
0703753,0703753,"Wilhelm-Busch-Schule, Förderzentrum Lernen",21509,Glinde,
0703757,0703757,"Woldenhorn-Schule, Förderzentrum geistige Entwicklung",22926,Ahrensburg,
